City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,mar del plata,AR,2020-04-15 16:07:13,-38.0,-57.56,63.0,59,75,18.34,broken clouds,0.0,0.0
1,katsuura,JP,2020-04-15 16:07:27,35.13,140.3,57.2,54,100,6.93,overcast clouds,0.0,0.0
2,victoria,HK,2020-04-15 16:07:28,22.29,114.16,72.0,64,89,2.24,overcast clouds,0.0,0.0
3,busselton,AU,2020-04-15 16:07:28,-33.65,115.33,55.0,58,32,6.91,scattered clouds,0.0,0.0
4,maykor,RU,2020-04-15 16:07:28,59.01,55.88,42.21,71,64,6.69,broken clouds,0.0,0.0
5,rikitea,PF,2020-04-15 16:07:28,-23.12,-134.97,75.36,67,43,1.21,scattered clouds,0.0,0.0
6,lorengau,PG,2020-04-15 16:07:28,-2.02,147.27,82.26,75,99,4.14,light rain,0.39,0.0
7,killybegs,IE,2020-04-15 16:07:29,54.63,-8.45,55.0,81,1,8.05,clear sky,0.0,0.0
8,lumsden,CA,2020-04-15 16:07:29,50.65,-104.87,26.6,38,20,5.82,few clouds,0.0,0.0
9,severo-kurilsk,RU,2020-04-15 16:07:29,50.68,156.12,30.47,93,100,10.07,overcast clouds,0.0,0.0
10,upernavik,GL,2020-04-15 16:07:29,72.79,-56.15,20.39,87,0,5.46,clear sky,0.0,0.0
11,lasa,IT,2020-04-15 16:07:30,46.62,10.7,69.8,37,5,6.93,clear sky,0.0,0.0
12,provideniya,RU,2020-04-15 16:07:30,64.38,-173.3,21.42,95,62,3.8,broken clouds,0.0,0.0
13,biltine,TD,2020-04-15 16:07:30,14.53,20.92,100.58,6,0,9.91,clear sky,0.0,0.0
14,khatanga,RU,2020-04-15 16:07:31,71.97,102.5,-7.13,89,0,3.98,clear sky,0.0,0.0
15,birao,CF,2020-04-15 16:07:31,10.28,22.79,102.09,6,19,9.69,few clouds,0.0,0.0
16,ushuaia,AR,2020-04-15 16:07:31,-54.8,-68.3,51.8,66,20,5.55,few clouds,0.0,0.0
17,jurmala,LV,2020-04-15 16:07:31,56.97,23.77,46.4,61,20,8.05,few clouds,0.0,0.0
18,punta arenas,CL,2020-04-15 16:07:32,-53.15,-70.92,53.6,76,99,4.56,overcast clouds,0.0,0.0
19,savonlinna,FI,2020-04-15 16:07:32,61.87,28.88,39.2,55,64,6.93,broken clouds,0.0,0.0
20,lemoore,US,2020-04-15 16:07:32,36.3,-119.78,64.99,82,1,3.36,clear sky,0.0,0.0
21,saskylakh,RU,2020-04-15 16:07:32,71.92,114.08,-5.22,91,91,6.06,overcast clouds,0.0,0.0
22,bluff,NZ,2020-04-15 16:07:33,-46.6,168.33,51.01,85,41,14.0,light rain,0.46,0.0
23,evensk,RU,2020-04-15 16:07:33,61.95,159.23,12.34,87,90,7.52,overcast clouds,0.0,0.0
24,dunedin,NZ,2020-04-15 16:07:22,-45.87,170.5,54.0,81,92,3.0,light rain,0.26,0.0
25,atuona,PF,2020-04-15 16:07:33,-9.8,-139.03,81.61,77,48,8.08,light rain,0.59,0.0
26,akyab,MM,2020-04-15 16:07:34,20.15,92.9,80.15,81,0,5.61,clear sky,0.0,0.0
27,drumheller,CA,2020-04-15 16:05:21,51.46,-112.71,35.01,44,100,12.41,light snow,0.0,0.52
28,yichang,CN,2020-04-15 16:04:45,30.71,111.28,66.87,65,0,0.98,clear sky,0.0,0.0
29,ibaiti,BR,2020-04-15 16:07:35,-23.85,-50.19,72.0,50,10,3.0,clear sky,0.0,0.0
30,dolores,AR,2020-04-15 16:07:35,-36.31,-57.68,62.64,59,16,15.05,few clouds,0.0,0.0
31,saint-augustin,CA,2020-04-15 16:07:35,51.23,-58.65,34.43,83,92,17.81,overcast clouds,0.0,0.0
32,terrace bay,CA,2020-04-15 16:07:36,48.78,-87.1,24.8,38,75,6.93,broken clouds,0.0,0.0
33,carnarvon,AU,2020-04-15 16:07:36,-24.87,113.63,75.2,73,40,19.46,scattered clouds,0.0,0.0
34,puerto ayora,EC,2020-04-15 16:07:36,-0.74,-90.35,82.4,78,75,9.17,heavy intensity rain,0.0,0.0
35,saint-georges,GD,2020-04-15 16:07:36,12.06,-61.75,86.0,66,20,19.46,few clouds,0.0,0.0
36,mataura,NZ,2020-04-15 16:07:36,-46.19,168.86,51.01,85,69,14.0,light rain,0.51,0.0
37,dikson,RU,2020-04-15 16:07:30,73.51,80.55,6.73,84,12,5.91,few clouds,0.0,0.0
38,hilo,US,2020-04-15 16:02:56,19.73,-155.09,71.6,73,75,4.7,broken clouds,0.0,0.0
39,vila velha,BR,2020-04-15 16:07:37,-20.33,-40.29,84.2,66,40,9.17,scattered clouds,0.0,0.0
40,east london,ZA,2020-04-15 16:03:43,-33.02,27.91,68.67,72,92,13.42,light rain,0.19,0.0
41,brae,GB,2020-04-15 16:07:37,60.4,-1.35,50.0,87,99,29.97,light rain,0.65,0.0
42,kodiak,US,2020-04-15 16:04:31,57.79,-152.41,41.0,86,90,4.7,fog,0.0,0.0
43,half moon bay,US,2020-04-15 16:07:38,37.46,-122.43,64.0,76,1,2.89,haze,0.0,0.0
44,tasiilaq,GL,2020-04-15 16:07:38,65.61,-37.64,28.4,79,75,10.29,broken clouds,0.0,0.0
45,klaksvik,FO,2020-04-15 16:06:06,62.23,-6.59,42.8,75,75,26.4,light rain,0.14,0.0
46,yar-sale,RU,2020-04-15 16:06:26,66.83,70.83,20.52,96,43,11.23,scattered clouds,0.0,0.0
47,hithadhoo,MV,2020-04-15 16:07:31,-0.6,73.08,85.3,70,92,8.52,light rain,1.18,0.0
48,bredasdorp,ZA,2020-04-15 16:07:39,-34.53,20.04,66.2,63,98,8.05,overcast clouds,0.0,0.0
49,kahului,US,2020-04-15 16:04:33,20.89,-156.47,71.6,78,1,5.82,clear sky,0.0,0.0
50,yakima,US,2020-04-15 16:05:57,46.47,-120.67,60.8,47,1,9.17,clear sky,0.0,0.0
51,bonthe,SL,2020-04-15 16:07:40,7.53,-12.51,86.94,67,100,9.91,light rain,2.67,0.0
52,hofn,IS,2020-04-15 16:07:40,64.25,-15.21,48.2,36,20,19.46,few clouds,0.0,0.0
53,pachino,IT,2020-04-15 16:07:41,36.72,15.09,62.6,67,40,6.93,scattered clouds,0.0,0.0
54,meadow lake,US,2020-04-15 16:07:41,34.8,-106.54,48.99,33,1,3.36,clear sky,0.0,0.0
55,cape town,ZA,2020-04-15 16:02:59,-33.93,18.42,68.0,55,100,6.93,overcast clouds,0.0,0.0
56,singarayakonda,IN,2020-04-15 16:07:42,15.25,80.03,79.92,78,0,9.53,clear sky,0.0,0.0
57,chokurdakh,RU,2020-04-15 16:07:42,70.63,147.92,-9.11,88,96,9.46,overcast clouds,0.0,0.0
58,port alfred,ZA,2020-04-15 16:07:42,-33.59,26.89,63.0,92,65,12.01,light rain,0.71,0.0
59,sorland,NO,2020-04-15 16:07:42,67.67,12.69,35.6,80,75,5.82,shower rain,0.0,0.0
60,taguatinga,BR,2020-04-15 16:07:43,-12.39,-46.57,72.7,83,100,2.42,moderate rain,3.49,0.0
61,vila franca do campo,PT,2020-04-15 16:07:43,37.72,-25.43,57.2,76,40,20.8,scattered clouds,0.0,0.0
62,yellowknife,CA,2020-04-15 16:07:43,62.46,-114.35,19.0,78,20,5.82,few clouds,0.0,0.0
63,fairbanks,US,2020-04-15 16:06:53,64.84,-147.72,37.99,86,1,2.95,clear sky,0.0,0.0
64,laguna,US,2020-04-15 16:06:02,38.42,-121.42,63.0,62,1,3.36,clear sky,0.0,0.0
65,jaca,ES,2020-04-15 16:07:44,42.57,-0.55,55.4,87,90,6.93,light rain,0.0,0.0
66,qaanaaq,GL,2020-04-15 16:07:44,77.48,-69.36,12.22,89,94,1.32,overcast clouds,0.0,0.0
67,gijon,ES,2020-04-15 16:04:11,43.54,-5.66,69.01,52,100,5.82,overcast clouds,0.0,0.0
68,georgetown,MY,2020-04-15 16:03:23,5.41,100.34,80.6,88,40,1.36,light rain,0.0,0.0
69,san ramon,US,2020-04-15 16:07:45,37.78,-121.98,64.0,58,1,0.92,clear sky,0.0,0.0
70,saint augustine,US,2020-04-15 16:07:45,29.89,-81.31,84.99,78,90,13.87,haze,0.0,0.0
71,kieta,PG,2020-04-15 16:07:45,-6.22,155.63,79.81,76,51,2.59,broken clouds,0.0,0.0
72,chapais,CA,2020-04-15 16:07:45,49.78,-74.85,17.6,52,1,8.05,clear sky,0.0,0.0
73,rawson,AR,2020-04-15 16:07:46,-43.3,-65.1,69.51,30,53,19.33,broken clouds,0.0,0.0
