City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,victoria,HK,72.0,overcast clouds,22.29,114.16,Mini Hotel Central
5,rikitea,PF,75.36,scattered clouds,-23.12,-134.97,Pension Maro'i
26,akyab,MM,80.15,clear sky,20.15,92.9,Hotel Memory
29,ibaiti,BR,72.0,clear sky,-23.85,-50.19,Hotel Moraes
33,carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
34,puerto ayora,EC,82.4,heavy intensity rain,-0.74,-90.35,Finch Bay Galapagos Hotel
35,saint-georges,GD,86.0,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
38,hilo,US,71.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
39,vila velha,BR,84.2,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
49,kahului,US,71.6,clear sky,20.89,-156.47,Maui Seaside Hotel
56,singarayakonda,IN,79.92,clear sky,15.25,80.03,srinu tiffin shop
68,georgetown,MY,80.6,light rain,5.41,100.34,Cititel Penang
70,saint augustine,US,84.99,haze,29.89,-81.31,Best Western Spanish Quarters Inn
71,kieta,PG,79.81,broken clouds,-6.22,155.63,
74,najran,SA,82.4,scattered clouds,17.49,44.13,محمد هادي ال فطيح
75,monrovia,LR,84.2,thunderstorm with rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
76,cabo san lucas,MX,73.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
80,iralaya,HN,84.31,scattered clouds,15.0,-83.23,Iglesia morava renovada
87,santa rosalia,MX,70.99,broken clouds,27.32,-112.28,Hotel Las Casitas Santa Rosalia
90,broken hill,AU,78.8,broken clouds,-31.95,141.43,Daydream Motel & Cottages
91,bulungu,CD,89.89,broken clouds,-4.55,18.6,
94,jardim,BR,70.56,clear sky,-21.48,-56.14,Hotel Estância
97,pochutla,MX,90.0,clear sky,15.74,-96.47,Hotel Posada San Jose
101,mareeba,AU,77.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
102,arraial do cabo,BR,86.0,few clouds,-22.97,-42.03,Pousada Porto Praia
104,bambous virieux,MU,78.8,broken clouds,-20.34,57.76,Casa Tia Villa
108,manta,EC,82.4,broken clouds,-0.95,-80.73,Balandra Hotel
113,phan thiet,VN,78.53,clear sky,10.93,108.1,Hotel Saigon-PT
116,avarua,CK,71.6,broken clouds,-21.21,-159.78,Paradise Inn
120,villa carlos paz,AR,73.0,clear sky,-31.42,-64.5,Monte Carlo
121,monduli,TZ,77.0,broken clouds,-3.3,36.45,Monduli Lutheran Youth Hostel
133,kununurra,AU,73.4,overcast clouds,-15.77,128.73,Hotel Kununurra
135,los llanos de aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
137,brokopondo,SR,87.96,broken clouds,4.75,-55.17,Matu Island
139,tsabong,BW,76.93,clear sky,-26.02,22.4,Springbok Motel
142,teshie,GH,89.6,scattered clouds,5.58,-0.11,ANAIVEH SERVICES
144,maicao,CO,86.86,scattered clouds,11.38,-72.24,Hotel Fronterita
147,faanui,PF,82.24,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
150,pisco,PE,79.0,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
152,sabang,ID,83.75,broken clouds,5.89,95.32,Hotel Citra
158,boueni,YT,84.2,scattered clouds,-12.9,45.08,Auberge bouloulou( inter djasmire )
162,souillac,MU,78.8,broken clouds,-20.52,57.52,Bils' Villa
